artist,rank,count,first
The Vaccines,2,4,< 2015
The Vaccines,1,4,< 2015
The Vaccines,1,4,< 2015
The Vaccines,1,4,< 2015
The Skints,3,4,< 2015
The Skints,3,4,< 2015
The Skints,4,4,< 2015
The Skints,2,4,< 2015
The 1975,5,4,< 2015
The 1975,2,4,< 2015
The 1975,2,4,< 2015
The 1975,1,4,< 2015
Sub Focus,3,4,< 2015
Sub Focus,3,4,< 2015
Sub Focus,3,4,< 2015
Sub Focus,2,4,< 2015
Peace,2,4,< 2015
Peace,1,4,< 2015
Peace,2,4,< 2015
Peace,5,4,< 2015
Palma Violets,4,4,< 2015
Palma Violets,2,4,< 2015
Palma Violets,5,4,< 2015
Palma Violets,1,4,< 2015
Lower Than Atlantis,4,4,< 2015
Lower Than Atlantis,1,4,< 2015
Lower Than Atlantis,2,4,< 2015
Lower Than Atlantis,1,4,< 2015
Krept & Konan,6,4,< 2015
Krept & Konan,6,4,< 2015
Krept & Konan,2,4,< 2015
Krept & Konan,1,4,< 2015
Jacob Plant,3,4,< 2015
Jacob Plant,3,4,< 2015
Jacob Plant,3,4,< 2015
Jacob Plant,3,4,< 2015
Fidlar,4,4,< 2015
Fidlar,2,4,< 2015
Fidlar,1,4,< 2015
Fidlar,4,4,< 2015
Dry The River,5,4,< 2015
Dry The River,2,4,< 2015
Dry The River,2,4,< 2015
Dry The River,1,4,< 2015
Dillon Francis,3,4,< 2015
Dillon Francis,3,4,< 2015
Dillon Francis,3,4,< 2015
Dillon Francis,3,4,< 2015
Circa Waves,5,4,< 2015
Circa Waves,2,4,< 2015
Circa Waves,1,4,< 2015
Circa Waves,2,4,< 2015
Charli XCX,3,4,< 2015
Charli XCX,3,4,< 2015
Charli XCX,3,4,< 2015
Charli XCX,1,4,< 2015
Two Door Cinema Club,2,5,< 2015
Two Door Cinema Club,1,5,< 2015
Two Door Cinema Club,2,5,< 2015
Two Door Cinema Club,2,5,< 2015
Two Door Cinema Club,1,5,< 2015
Sundara Karma,7,5,< 2015
Sundara Karma,5,5,< 2015
Sundara Karma,1,5,< 2015
Sundara Karma,2,5,< 2015
Sundara Karma,2,5,< 2015
Spector,6,5,< 2015
Spector,2,5,< 2015
Spector,5,5,< 2015
Spector,2,5,< 2015
Spector,5,5,< 2015
Slaves,7,5,< 2015
Slaves,4,5,< 2015
Slaves,2,5,< 2015
Slaves,1,5,< 2015
Slaves,2,5,< 2015
Marmozets,5,5,< 2015
Marmozets,2,5,< 2015
Marmozets,1,5,< 2015
Marmozets,2,5,< 2015
Giggs,4,5,< 2015
Giggs,6,5,< 2015
Giggs,6,5,< 2015
Giggs,2,5,< 2015
Giggs,1,5,< 2015
DJ Semtex,6,5,< 2015
DJ Semtex,6,5,< 2015
DJ Semtex,6,5,< 2015
DJ Semtex,6,5,< 2015
DJ Semtex,6,5,< 2015
Deaf Havana,1,5,< 2015
Deaf Havana,2,5,< 2015
Deaf Havana,1,5,< 2015
Deaf Havana,2,5,< 2015
Deaf Havana,2,5,< 2015
Bastille,4,5,< 2015
Bastille,2,5,< 2015
Bastille,1,5,< 2015
Bastille,1,5,< 2015
Bastille,2,5,< 2015
Twin Atlantic,5,6,< 2015
Twin Atlantic,2,6,< 2015
Twin Atlantic,1,6,< 2015
Twin Atlantic,2,6,< 2015
Twin Atlantic,2,6,< 2015
Twin Atlantic,1,6,< 2015
Don Broco,6,6,< 2015
Don Broco,4,6,< 2015
Don Broco,1,6,< 2015
Don Broco,2,6,< 2015
Don Broco,2,6,< 2015
Don Broco,2,6,< 2015
