artist,rank,count,arc
Hundred Reasons,2,5,downward
Hundred Reasons,1,5,downward
Hundred Reasons,2,5,downward
Hundred Reasons,1,5,downward
Hundred Reasons,3,5,downward
Kids in Glass Houses,3,4,downward
Kids in Glass Houses,2,4,downward
Kids in Glass Houses,1,4,downward
Kids in Glass Houses,2,4,downward
Klaxons,4,4,downward
Klaxons,2,4,downward
Klaxons,2,4,downward
Klaxons,3,4,downward
Ladytron,4,4,downward
Ladytron,3,4,downward
Ladytron,2,4,downward
Ladytron,4,4,downward
Less Than Jake,1,6,downward
Less Than Jake,1,6,downward
Less Than Jake,1,6,downward
Less Than Jake,3,6,downward
Less Than Jake,3,6,downward
Marmozets,5,5,downward
Marmozets,2,5,downward
Marmozets,1,5,downward
Marmozets,2,5,downward
Mastodon,1,4,downward
Mastodon,2,4,downward
Mastodon,4,4,downward
Mastodon,4,4,downward
Maxïmo Park,2,5,downward
Maxïmo Park,2,5,downward
Maxïmo Park,1,5,downward
Maxïmo Park,1,5,downward
Maxïmo Park,5,5,downward
New Found Glory,2,7,downward
New Found Glory,1,7,downward
New Found Glory,4,7,downward
New Found Glory,1,7,downward
New Found Glory,1,7,downward
New Found Glory,1,7,downward
New Found Glory,4,7,downward
Peace,2,4,downward
Peace,1,4,downward
Peace,2,4,downward
Peace,5,4,downward
Pulled Apart By Horses,5,7,downward
Pulled Apart By Horses,4,7,downward
Pulled Apart By Horses,4,7,downward
Pulled Apart By Horses,2,7,downward
Pulled Apart By Horses,1,7,downward
Pulled Apart By Horses,1,7,downward
Pulled Apart By Horses,5,7,downward
Reel Big Fish,3,4,downward
Reel Big Fish,2,4,downward
Reel Big Fish,1,4,downward
Reel Big Fish,3,4,downward
Roots Manuva,3,4,downward
Roots Manuva,3,4,downward
Roots Manuva,1,4,downward
Roots Manuva,3,4,downward
Sick Of It All,3,6,downward
Sick Of It All,3,6,downward
Sick Of It All,3,6,downward
Sick Of It All,3,6,downward
Sick Of It All,4,6,downward
Spector,6,5,downward
Spector,2,5,downward
Spector,5,5,downward
Spector,2,5,downward
Spector,5,5,downward
The Bronx,2,7,downward
The Bronx,4,7,downward
The Bronx,3,7,downward
The Bronx,3,7,downward
The Bronx,4,7,downward
The Bronx,4,7,downward
The Bronx,4,7,downward
The Futureheads,2,6,downward
The Futureheads,2,6,downward
The Futureheads,2,6,downward
The Futureheads,1,6,downward
The Futureheads,1,6,downward
The Futureheads,4,6,downward
The Horrors,2,6,downward
The Horrors,2,6,downward
The Horrors,4,6,downward
The Horrors,2,6,downward
The Horrors,2,6,downward
The Horrors,5,6,downward
The King Blues,3,4,downward
The King Blues,1,4,downward
The King Blues,3,4,downward
The King Blues,4,4,downward
The Living End,1,5,downward
The Living End,4,5,downward
The Living End,1,5,downward
The Living End,4,5,downward
The Streets,3,5,downward
The Streets,1,5,downward
The Streets,1,5,downward
The Streets,1,5,downward
The Streets,2,5,downward
The Subways,4,6,downward
The Subways,2,6,downward
The Subways,1,6,downward
The Subways,2,6,downward
The Subways,1,6,downward
The Subways,4,6,downward
The Sunshine Underground,4,4,downward
The Sunshine Underground,2,4,downward
The Sunshine Underground,4,4,downward
The Sunshine Underground,5,4,downward
The View,2,5,downward
The View,1,5,downward
The View,1,5,downward
The View,4,5,downward
The View,5,5,downward
Thrice,5,5,downward
Thrice,1,5,downward
Thrice,3,5,downward
Thrice,1,5,downward
Thrice,4,5,downward
Thursday,3,4,downward
Thursday,1,4,downward
Thursday,3,4,downward
Thursday,3,4,downward
Twisted Wheel,4,5,downward
Twisted Wheel,7,5,downward
Twisted Wheel,5,5,downward
Twisted Wheel,2,5,downward
Twisted Wheel,5,5,downward
We Are Scientists,4,5,downward
We Are Scientists,2,5,downward
We Are Scientists,1,5,downward
We Are Scientists,2,5,downward
We Are Scientists,5,5,downward
