artist,rank,count,first
Alkaline Trio,4,4,2005
Against Me!,3,4,2006
Against Me!,4,4,2006
Against Me!,3,4,2006
Against Me!,1,4,2006
2manydjs,2,4,2002
2manydjs,3,4,2002
2manydjs,3,4,2002
2manydjs,2,4,2002
We Are Scientists,4,5,2005
We Are Scientists,2,5,2005
We Are Scientists,1,5,2005
We Are Scientists,2,5,2005
We Are Scientists,5,5,2005
Two Door Cinema Club,2,5,2010
Two Door Cinema Club,1,5,2010
Two Door Cinema Club,2,5,2010
Two Door Cinema Club,2,5,2010
Two Door Cinema Club,1,5,2010
Twisted Wheel,4,5,2008
Twisted Wheel,7,5,2008
Twisted Wheel,5,5,2008
Twisted Wheel,2,5,2008
Twisted Wheel,5,5,2008
Thrice,5,5,2003
Thrice,1,5,2003
Thrice,3,5,2003
Thrice,1,5,2003
Thrice,4,5,2003
The Wombats,2,5,2008
The Wombats,5,5,2008
The Wombats,2,5,2008
The Wombats,1,5,2008
The Wombats,1,5,2008
The View,2,5,2007
The View,1,5,2007
The View,1,5,2007
The View,4,5,2007
The View,5,5,2007
The Streets,3,5,2002
The Streets,1,5,2002
The Streets,1,5,2002
The Streets,1,5,2002
The Streets,2,5,2002
The Maccabees,4,5,2006
The Maccabees,2,5,2006
The Maccabees,2,5,2006
The Maccabees,1,5,2006
The Maccabees,1,5,2006
The Living End,1,5,1999
The Living End,4,5,1999
The Living End,1,5,1999
The Living End,4,5,1999
The Libertines,2,5,2002
The Libertines,1,5,2002
The Libertines,1,5,2002
The Libertines,1,5,2002
The Libertines,1,5,2002
The Gaslight Anthem,3,5,2008
The Gaslight Anthem,2,5,2008
The Gaslight Anthem,1,5,2008
The Gaslight Anthem,1,5,2008
The Gaslight Anthem,1,5,2008
The Blackout,1,5,2008
The Blackout,4,5,2008
The Blackout,1,5,2008
The Blackout,2,5,2008
The Blackout,1,5,2008
Sundara Karma,7,5,2013
Sundara Karma,5,5,2013
Sundara Karma,1,5,2013
Sundara Karma,2,5,2013
Sundara Karma,2,5,2013
Spector,6,5,2011
Spector,2,5,2011
Spector,5,5,2011
Spector,2,5,2011
Spector,5,5,2011
Slaves,7,5,2013
Slaves,4,5,2013
Slaves,2,5,2013
Slaves,1,5,2013
Slaves,2,5,2013
Paramore,3,5,2006
Paramore,1,5,2006
Paramore,1,5,2006
Paramore,1,5,2006
Paramore,1,5,2006
Panic! At The Disco,1,5,2006
Panic! At The Disco,1,5,2006
Panic! At The Disco,2,5,2006
Panic! At The Disco,1,5,2006
Panic! At The Disco,1,5,2006
Mystery Jets,4,5,2005
Mystery Jets,2,5,2005
