"x"
"#3E2966"
"#3550B9"
"#9A989C"
"#282828"
"#B4B4B4"
"#847B83"
"#5B647C"
"#7A7C80"
"#5B3951"
"#454457"
"#E8D7DA"
"#625836"
"#2B1C57"
"#837D7E"
"#538B91"
"#9E949B"
"#534F59"
"#9760B4"
"#413E55"
"#868179"
"#61616A"
"#543D47"
"#DBA29C"
"#88229F"
"#605A69"
"#80777A"
"#46261E"
"#080662"
"#8C6CB0"
"#4E373F"
"#0E7A70"
"#17172E"
"#6F6872"
"#736D73"
"#45176D"
"#515151"
"#B94E1F"
"#DCB6B8"
"#958E92"
"#B1B3D2"
"#06524B"
"#878787"
"#65366E"
"#636363"
"#AC8B86"
"#B88A83"
"#796EA7"
"#363636"
"#474359"
"#A9AAA3"
"#3F3932"
"#755E98"
"#6B6173"
"#504B5C"
"#747273"
"#875B99"
"#D0CFD0"
"#3C445A"
"#AE7874"
"#4F4B5C"
"#94578A"
"#F4DBE8"
"#6E656A"
"#7F5886"
"#937A6F"
"#A8A2A8"
"#371749"
"#515151"
"#97999D"
"#30318C"
"#257E8B"
"#686868"
"#847C84"
"#7B528E"
"#4A495A"
"#837A7D"
"#7B737B"
"#AFAFCE"
"#6A3546"
"#8D848C"
"#8C9481"
"#EBE8E7"
"#B9C1DA"
"#2C4CA3"
"#717171"
"#11444E"
"#3F3739"
"#5B5666"
"#7F4780"
"#B9B5D3"
"#DCDADC"
"#9B97A7"
"#E4BDBE"
"#2F6D6D"
"#8D8D8D"
"#440519"
"#281D31"
"#1C0B23"
"#290416"
"#524E5F"
"#394C60"
"#B1918C"
"#BEB6B8"
"#B94E1F"
"#A49C92"
"#124153"
"#9E9BA2"
"#403D56"
"#392045"
"#E8C5C4"
"#3B0E79"
"#7F7385"
"#C2C2C8"
"#A3A0A0"
"#5F5B69"
"#98949A"
"#636363"
"#736778"
"#353534"
"#9B9996"
"#214565"
"#6C538F"
"#C7A29C"
"#281917"
"#10666F"
"#635C5F"
"#5A475C"
"#615E63"
"#4E686E"
"#5E5E5E"
"#3E4964"
"#88229F"
"#524F56"
"#99918B"
"#8A7D83"
"#364769"
"#E0DBD8"
"#D9B5B6"
"#965198"
"#302B31"
"#767E8B"
"#423E55"
"#524E5E"
"#AC8B86"
"#D3043B"
"#A6311A"
"#573C6F"
"#E0DBD8"
"#4B4263"
"#282828"
"#502E68"
"#411B93"
"#CB885B"
"#24293E"
"#694D4C"
"#90888F"
"#074E66"
"#434048"
"#AC8B86"
"#7B6C72"
"#9C1597"
"#848282"
"#A2A2A2"
"#989790"
"#BBBBBB"
"#6C397D"
"#F2F2F2"
"#4B4B4B"
"#814D7D"
"#2B2B2B"
"#696969"
"#67616C"
"#6D6175"
"#AEB0D1"
"#E0BDB4"
"#B2B0B5"
"#A247B3"
"#918B9F"
"#BD49D0"
"#DEB8B8"
"#CEADAE"
"#9EA0A0"
"#505050"
"#3564C7"
"#D9B0AB"
"#9D9697"
"#6B626D"
"#A094F6"
"#363FC0"
"#585858"
"#787077"
"#2C0B24"
"#C3C7B5"
"#776E82"
"#A099A2"
"#9197C1"
"#2A282B"
"#272434"
"#B6B4B4"
"#544759"
"#867B85"
"#ECB9B1"
"#B2B1D1"
"#573EC7"
"#646365"
"#2C0D48"
"#565656"
"#92889B"
"#FAD0D7"
"#938B90"
"#413B3F"
"#A0A0A0"
"#F8F8F8"
"#0D4BCC"
"#856E98"
"#E0B9B8"
"#EDEAE8"
"#DDDAD6"
"#747474"
"#B1A899"
"#4A4A4A"
"#431876"
"#B3B4D3"
"#E0BBBB"
"#3E3A54"
"#454545"
"#C3B9C0"
"#B9B6D2"
"#4D355D"
"#468DCF"
"#333436"
"#FAD3D7"
"#8D8992"
"#05242C"
"#5F4175"
"#B9ACA3"
"#879BB0"
"#656464"
"#FAD1D7"
"#B4B4B4"
"#9527C2"
"#827278"
"#B1B3D2"
"#736D73"
"#ACADD0"
"#762E19"
"#515151"
"#625E62"
"#373737"
"#1E1E1E"
"#415B74"
"#736873"
"#ADB0D1"
"#4A4759"
"#817981"
"#B4B4D3"
"#613A49"
"#6C206C"
"#551852"
"#B1B1B1"
"#767676"
"#6D05A4"
"#EFEFEE"
"#385384"
"#605869"
"#747474"
"#23504F"
"#312766"
"#504E50"
"#7E787B"
"#464646"
"#072F10"
"#979092"
"#423B36"
"#B1AFD2"
"#130A3A"
"#101642"
"#7F7F7F"
"#505050"
"#DCDADC"
"#8C848C"
"#F8F7F7"
"#9C3F69"
"#B3B3B3"
"#7E737E"
"#7A7A7A"
"#DBA2A8"
"#FAD9DF"
"#B4B4B4"
"#C7B1AD"
"#524D61"
"#313131"
"#646464"
"#40403E"
"#EBC4C8"
"#174847"
"#9061AA"
"#5C596F"
"#574D55"
"#9C979B"
"#525659"
"#D1CCC5"
"#9C9899"
"#5A5A5A"
"#665051"
"#B0AFD1"
"#383837"
"#430B58"
"#5E5E5D"
"#BBB3D4"
"#5E5D5C"
"#BE9790"
"#384858"
"#8A8789"
"#EFEFED"
"#CDD9D7"
"#9C959D"
"#F7F7F7"
"#221225"
"#E8E4E2"
"#969498"
"#786F7F"
"#595A65"
"#F7F7F7"
"#1C1C1C"
"#261232"
"#736E73"
"#ADDEF4"
"#252524"
"#E0DADD"
"#959595"
"#B5B3AF"
"#2B8EA1"
"#6C5E62"
"#80707D"
"#7D7D7E"
"#C75BAC"
"#FAD1D7"
"#114D5C"
"#514D5F"
"#13143D"
"#827371"
"#655F6B"
"#B1AFAC"
"#554554"
"#1C1C1C"
"#908F91"
"#94919B"
"#383836"
"#424242"
"#2E322C"
"#5C5C5C"
"#24516A"
"#245D6D"
"#9E5A8C"
"#888281"
"#746F75"
"#957490"
"#716B72"
"#524D55"
"#9A9498"
"#786D79"
"#B6B6B6"
"#39317D"
"#4D4D4D"
"#746D74"
"#230230"
"#513A53"
"#BAB5C5"
"#3B4548"
"#05383C"
"#B593CA"
"#9E9E9E"
"#FAD1D5"
"#3A3446"
"#7975EF"
"#4B4A4B"
"#9A959B"
"#4B03A0"
"#D4E1DC"
"#ACA6A4"
"#4B585F"
"#766D77"
"#B2AFAD"
"#AD75AA"
"#9595BD"
"#910C7D"
"#929092"
"#372F27"
"#807B82"
"#47414D"
"#596E85"
"#363536"
"#434344"
"#907C8D"
"#616072"
"#3C283F"
"#1C1556"
"#92879A"
"#3E032A"
"#432D45"
"#7392A6"
"#A3A5B4"
"#393939"
"#B2B1D1"
"#525659"
"#080E42"
"#777678"
"#8B828A"
"#6A6A6A"
"#A29AA1"
"#796F75"
"#6A6769"
"#B0AFD1"
"#6F3938"
"#310C3E"
"#4A3A49"
"#736D74"
"#B2B1D1"
"#D8B3B4"
"#796F7C"
"#938B88"
"#222143"
"#8689A8"
"#F9F9F9"
"#623573"
"#ACA39F"
"#1B1B1D"
"#737373"
"#74686B"
"#B1B1CE"
"#54345F"
"#6D6D6D"
"#938E9D"
"#353535"
"#A2B1BA"
"#4F0C19"
"#B9B5D3"
"#715F67"
"#5F5967"
"#A266D1"
"#2B343F"
"#999498"
"#756A77"
"#DCDCDC"
"#373837"
"#696969"
"#685332"
"#66606C"
"#414C58"
"#352B25"
"#897767"
"#938F93"
"#3A1641"
"#AEAED0"
"#242424"
"#B2B2B2"
"#796B7C"
"#635E6C"
"#AF8C88"
"#595959"
"#6C6566"
"#574B5E"
"#4B0407"
"#B9B6AB"
"#BE9790"
"#232323"
"#C91B9B"
"#3F3F3F"
"#777477"
"#222222"
"#7C787B"
"#4C2619"
"#8B8981"
"#313131"
"#BCBC8F"
"#2B1819"
"#757376"
"#BEC0D9"
"#561DC9"
"#161616"
"#929498"
"#FBD3D6"
"#5D5867"
"#241A43"
"#761B6F"
"#303968"
"#B4B4B4"
"#E0DBD8"
"#745B7B"
"#756A7C"
"#322110"
"#797677"
"#C3BEC1"
"#87809E"
"#323231"
"#444155"
"#B9B5D3"
"#878787"
"#6C6267"
"#95B4CE"
"#7F0E91"
"#515151"
"#C09C97"
"#21091E"
"#D495CF"
"#8A898D"
"#544941"
"#918A95"
"#3A3446"
"#6D3E63"
"#8C8288"
"#847A83"
"#7C7083"
"#80767B"
"#5B4B60"
"#640F49"
"#5C686F"
"#A8A3A8"
"#746F75"
"#AC8B86"
"#78314B"
"#FAD1D7"
"#36364B"
"#515151"
"#62616B"
"#AEAED0"
"#B0B0D2"
"#AC8B86"
"#2B2831"
"#540405"
"#BAB1BA"
"#BDB7D6"
"#716778"
"#A09DA3"
"#8B8B8B"
"#9A878F"
"#484B45"
"#DFDAD6"
"#A1A0A2"
"#A19EAC"
"#AEAAB4"
"#FAD1D5"
"#624C53"
"#7B7579"
"#7A6F72"
"#726274"
"#989592"
"#5E5A67"
"#3B3B3B"
"#5F1332"
"#FAFAFA"
"#918E95"
"#64585A"
"#AE7874"
"#786A76"
"#DFBBBA"
"#5F6EA1"
"#094347"
"#67626D"
"#D9D3D1"
"#5F5A67"
"#635769"
"#3C4F6E"
"#B79599"
"#272727"
"#FBD2D6"
"#E0D4D5"
"#ABA197"
"#6A6761"
"#979396"
"#991F95"
"#6B1F7C"
"#BBB7B5"
"#A6A4A8"
"#666465"
"#07544C"
"#B2A2A1"
"#503B2E"
"#9D2A13"
"#7D787B"
"#A7A6A8"
"#968F8A"
"#342924"
"#633B33"
"#071325"
"#7E6F73"
"#3E3C3F"
"#8B8A8C"
"#7C7578"
"#45324A"
"#5F1393"
"#404040"
"#595B60"
"#2F383D"
"#403F41"
"#9F9999"
"#321359"
"#231840"
"#220226"
"#464447"
"#828482"
"#BEBABC"
"#74716B"
"#402253"
"#877B86"
"#837D80"
"#3E9197"
"#72055D"
"#F2F3F6"
"#383739"
"#2868A7"
"#8F8891"
"#999A9A"
"#3A1E3A"
"#054F5E"
"#0A2B67"
"#67585A"
"#D8D8D7"
"#897D92"
"#7C7C7C"
"#8A848D"
"#6B6B6B"
"#110F26"
"#341D58"
"#969496"
"#7E6289"
"#41115A"
"#8B736D"
"#340848"
"#6B8596"
"#0D2F36"
"#8A7A8A"
"#A981AF"
"#2B75DA"
"#043E4C"
"#2A1931"
"#837883"
"#4B1B4E"
"#9D9A9A"
"#C7B1AD"
"#53313F"
"#074E66"
"#8E8991"
"#615D69"
"#282828"
"#353B64"
"#051528"
"#B2B1B3"
"#B5B3B1"
"#6E6170"
"#6B0E31"
"#97AFBE"
"#555555"
"#8E9793"
"#1C1A20"
"#909090"
"#6A646E"
"#5D5D5D"
"#191E22"
"#4B73B5"
"#898789"
"#999395"
"#989497"
"#5A0553"
"#350E45"
"#3E395B"
"#E0DBD8"
"#9C73A9"
"#B1908C"
"#919092"
"#C6C7C5"
"#3E2746"
"#937B6F"
"#7F7F7F"
"#8E618C"
"#FAD1D7"
"#40193F"
"#857DA9"
"#7D7D7D"
"#AE7874"
"#626262"
"#828182"
"#24182D"
"#877D90"
"#7C6E7F"
"#6A2E66"
"#553B66"
"#765C99"
"#514D5E"
"#847C83"
"#787073"
"#A166D1"
"#B0AFD2"
"#F3F0EE"
"#33314C"
"#939497"
"#ACA7A4"
"#4A7EA7"
"#6D6A6B"
"#8B53A3"
"#535353"
"#2E2B68"
"#82807D"
"#41557A"
"#C8C7C9"
"#403F41"
"#58485D"
"#A7426D"
"#0A252B"
"#353535"
"#B1B1B1"
"#565656"
"#6D6C73"
"#E0D4D5"
"#0B3921"
"#A61A80"
"#DBA19B"
"#6B0F32"
"#2C2F95"
"#9F9EA0"
"#A96297"
"#8A8687"
"#80467F"
"#515EB2"
"#DCDCDC"
"#44023A"
"#872CA3"
"#4F4F4F"
"#DFBDBF"
"#989898"
"#696763"
"#4B4B4B"
"#AAA6AE"
"#A19DA3"
"#97A2B6"
"#9A97A3"
"#2F2F2F"
"#492E6A"
"#2F1D6F"
"#4B2143"
"#5F5F5F"
"#D9B3B3"
"#225053"
"#70332C"
"#031929"
"#958D92"
"#584F56"
"#8F8B91"
"#232240"
"#85777E"
"#756B75"
"#8F888E"
"#262626"
"#6B656E"
"#9395BF"
"#390F73"
"#8B8B8B"
"#8E21AE"
"#B8C1DA"
"#10152C"
"#535353"
"#827671"
"#6F6F6F"
"#A1A0A9"
"#F8F8F8"
"#726575"
"#336F95"
"#AC8B86"
"#6D3958"
"#6C6C6C"
"#7C7A7D"
"#CCD2DB"
"#A3A3A3"
"#9F9798"
"#4A2D7E"
"#96462D"
"#423838"
"#8E8E8E"
"#444156"
"#3F3A44"
"#383838"
"#252525"
"#2323AD"
"#434343"
"#8F8F8F"
"#295077"
"#B57147"
"#B9B5D3"
"#524133"
"#18172F"
"#4B3849"
"#3D3D3D"
"#554659"
"#384A39"
"#575264"
"#823967"
"#3D0925"
"#2F3132"
"#824E76"
"#3A2446"
"#69325B"
"#9B9A9B"
"#706468"
"#BDB3AE"
"#DCDCDC"
"#DFDAD6"
"#E0DADC"
"#ACAAA7"
"#938C91"
"#BABDC2"
"#0A3664"
"#7A7375"
"#6D6D6D"
"#51464F"
"#414359"
"#CD8F87"
"#575757"
"#A39C9B"
"#575757"
"#645E6A"
"#584262"
"#A7A1AC"
"#7E7679"
"#1D0406"
"#9E528A"
"#8BC2CF"
"#363642"
"#636165"
"#596FB8"
"#B28897"
"#462D72"
"#635265"
"#726D7A"
"#55035C"
"#525051"
"#545454"
"#39474F"
"#ACA8B3"
"#503929"
"#515056"
"#A6A3A9"
"#878385"
"#555555"
"#03383C"
"#6F466D"
"#45415A"
"#BAAFC6"
"#7C7C7C"
"#C1BCBE"
"#5C3550"
"#BDBDC6"
"#ADADAD"
